_id,site_name,admin_id,facility_city,country,sector_type,year,year_type
685e66d8a92ea4956a35733e,demo site,685b9a84a92ea4956a357241,demo city,India,manufacturing,2025,calendar
6891bb9e96163182f4b278f4,Bahrain,6891bb1896163182f4b2783e,Bahrain,Bahrain,manufacturing,2025,calendar
6891bc1096163182f4b278f8,Saudi Arabia,6891bb1896163182f4b2783e,Saudi Arabia,Saudi Arabia,manufacturing,2025,calendar
6891bc8096163182f4b278fc,Mozambique ,6891bb1896163182f4b2783e,Mozambique ,Mozambique,manufacturing,2025,calendar
68959f06fc4b1795d98f80ed,cherion,68959d40fc4b1795d98f7f9c,Telangana,India,manufacturing,2025,calendar
6895abbfe4928843c7c33a74,Cherion,6895ab81e4928843c7c33923,Telangana,India,manufacturing,2025,calendar
6895d89de4928843c7c342be,Glochem,6895d837e4928843c7c33e29,Telangana,India,manufacturing,2025,calendar
68a5991265ea59a1f18b3821,A100,68a5883965ea59a1f18b3486,Aurangabad,India,manufacturing,2025,calendar
68a5995765ea59a1f18b3825,B6,68a5883965ea59a1f18b3486,Aurangabad,India,manufacturing,2025,calendar
68a5997f65ea59a1f18b3829,E9,68a5883965ea59a1f18b3486,Aurangabad,India,manufacturing,2025,calendar
68b963a865e87c4c92f7056b,Noida,68b9632065e87c4c92f6fc69,Noida,India,healthcare,2024,calendar
68d39680f2a4964c04d45b6e,Mumbai,68b9632065e87c4c92f6fc69,Mumbai,India,manufacturing,2025,calendar
