_id,company_id,site_id,user_id,manager_id,frequency,year,month,emission_factor,emission_factor_unit,calculated_emission,name,notes,source,approved,approved_by,created_at,updated_at,consumption,unit,spend_amount,currency,emission_intensity,output_value,output_unit
689472c5a02b9ca49252dbc2,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2023,January,0.6986,TCO2e,2409.4714,Ali Majeed,,IEA 2022,true,Mauricio Dela Cruz,2025-08-07T09:32:53.538000,2025-08-07T09:32:53.538000,3449000.00,Kwh,,Select,,,
689472d4a02b9ca49252dbc5,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2023,February,0.6986,TCO2e,2533.1236,Ali Majeed,,IEA 2022,true,Mauricio Dela Cruz,2025-08-07T09:33:08.390000,2025-08-07T09:33:08.390000,3626000.00,Kwh,,Select,,,
689472fba02b9ca49252dc83,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2023,March,0.6986,TCO2e,2693.103,Ali Majeed,,IEA 2022,true,Mauricio Dela Cruz,2025-08-07T09:33:47.503000,2025-08-07T09:33:47.503000,3855000.00,Kwh,,Select,,,
689472fea02b9ca49252dc86,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2023,April,0.6986,TCO2e,2646.9954,Ali Majeed,,IEA 2022,true,Mauricio Dela Cruz,2025-08-07T09:33:50.690000,2025-08-07T09:33:50.690000,3789000.00,Kwh,,Select,,,
68947305a02b9ca49252dc89,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2023,May,0.6986,TCO2e,2957.1738,Ali Majeed,,IEA 2022,true,Mauricio Dela Cruz,2025-08-07T09:33:57.330000,2025-08-07T09:33:57.330000,4233000.00,Kwh,,Select,,,
68947312a02b9ca49252dc8c,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2023,June,0.6986,TCO2e,2500.988,Ali Majeed,,IEA 2022,true,Mauricio Dela Cruz,2025-08-07T09:34:10.744000,2025-08-07T09:34:10.744000,3580000.00,Kwh,,Select,,,
6894731fa02b9ca49252dc8f,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2023,July,0.6986,TCO2e,3027.7324,Ali Majeed,,IEA 2022,true,Mauricio Dela Cruz,2025-08-07T09:34:23.337000,2025-08-07T09:34:23.337000,4334000.00,Kwh,,Select,,,
68947333a02b9ca49252dc92,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2023,August,0.6986,TCO2e,3031.2254,Ali Majeed,,IEA 2022,true,Mauricio Dela Cruz,2025-08-07T09:34:43.298000,2025-08-07T09:34:43.298000,4339000.00,Kwh,,Select,,,
68947342a02b9ca49252dc97,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2023,September,0.6986,TCO2e,2911.7648,Ali Majeed,,IEA 2022,true,Mauricio Dela Cruz,2025-08-07T09:34:58.258000,2025-08-07T09:34:58.258000,4168000.00,Kwh,,Select,,,
68947356a02b9ca49252dc9c,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2023,October,0.6986,TCO2e,3007.473,Ali Majeed,,IEA 2022,true,Mauricio Dela Cruz,2025-08-07T09:35:18.430000,2025-08-07T09:35:18.430000,4305000.00,Kwh,,Select,,,
68947382a02b9ca49252ddbb,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2023,November,0.6986,TCO2e,2841.9048,Ali Majeed,,IEA 2022,true,Mauricio Dela Cruz,2025-08-07T09:36:02.978000,2025-08-07T09:36:02.978000,4068000.00,Kwh,,Select,,,
6894738da02b9ca49252ddbe,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2023,December,0.6986,TCO2e,3020.0478,Ali Majeed,,IEA 2022,true,Mauricio Dela Cruz,2025-08-07T09:36:13.762000,2025-08-07T09:36:13.762000,4323000.00,Kwh,,Select,,,
68947400a02b9ca49252e113,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2024,January,0.6986,TCO2e,2803.4818,Ali Majeed,,IEA 2023,true,Mauricio Dela Cruz,2025-08-07T09:38:08.151000,2025-08-07T09:38:08.151000,4013000.00,Kwh,,Select,,,
6894740ca02b9ca49252e116,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2024,February,0.6986,TCO2e,2886.6152,Ali Majeed,,IEA 2023,true,Mauricio Dela Cruz,2025-08-07T09:38:20.087000,2025-08-07T09:38:20.087000,4132000.00,Kwh,,Select,,,
68947419a02b9ca49252e119,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2024,March,0.6986,TCO2e,3173.0412,Ali Majeed,,IEA 2023,true,Mauricio Dela Cruz,2025-08-07T09:38:33.194000,2025-08-07T09:38:33.194000,4542000.00,Kwh,,Select,,,
68947424a02b9ca49252e11c,6891bb1896163182f4b2783e,6891bb9e96163182f4b278f4,6891bceb96163182f4b27905,,,2024,April,0.6986,TCO2e,2466.058,Ali Majeed,,IEA 2023,true,Mauricio Dela Cruz,2025-08-07T09:38:44.668000,2025-08-07T09:38:44.668000,3530000.00,Kwh,,Select,,,
