consumption,unit,spend_amount,currency,emission_intensity,output_value,output_unit,_id,company_id,site_id,user_id,manager_id,frequency,year,month,emission_factor,emission_factor_unit,calculated_emission,name,notes,source,approved,approved_by,created_at,updated_at
107205,Kwh,,Select,,,,6926a0a7975615828278b3a6,6891bb1896163182f4b2783e,6891bc8096163182f4b278fc,6891bd8e96163182f4b2790d,,Monthly,2024,January,0.0792,TCO2e,8.490636,Emidio Tinga,,IEA 2023,true,Padm Nabh Tripathi,2025-11-26T06:39:35.114000,2025-11-26T06:39:35.114000
194214,Kwh,,Select,,,,6926a242975615828278b521,6891bb1896163182f4b2783e,6891bc8096163182f4b278fc,6891bd8e96163182f4b2790d,,Monthly,2023,January,0.0792,TCO2e,15.3817488,Emidio Tinga,,IEA 2022,true,Padm Nabh Tripathi,2025-11-26T06:46:26.402000,2025-11-26T06:46:26.402000
166164,Kwh,,Select,,,,6926a243975615828278b524,6891bb1896163182f4b2783e,6891bc8096163182f4b278fc,6891bd8e96163182f4b2790d,,Monthly,2023,February,0.0792,TCO2e,13.1601888,Emidio Tinga,,IEA 2022,true,Padm Nabh Tripathi,2025-11-26T06:46:27.272000,2025-11-26T06:46:27.272000
176278,Select,,Select,,,,6926a244975615828278b527,6891bb1896163182f4b2783e,6891bc8096163182f4b278fc,6891bd8e96163182f4b2790d,,Monthly,2023,March,0.0792,TCO2e,13961.217600000002,Emidio Tinga,,IEA 2022,true,Padm Nabh Tripathi,2025-11-26T06:46:28.196000,2025-11-26T06:46:28.196000
154419,Kwh,,Select,,,,6926a245975615828278b52a,6891bb1896163182f4b2783e,6891bc8096163182f4b278fc,6891bd8e96163182f4b2790d,,Monthly,2023,April,0.0792,TCO2e,12.229984800000002,Emidio Tinga,,IEA 2022,true,Padm Nabh Tripathi,2025-11-26T06:46:29.182000,2025-11-26T06:46:29.182000
115514,Kwh,,Select,,,,6926a246975615828278b52d,6891bb1896163182f4b2783e,6891bc8096163182f4b278fc,6891bd8e96163182f4b2790d,,Monthly,2023,May,0.0792,TCO2e,9.1487088,Emidio Tinga,,IEA 2022,true,Padm Nabh Tripathi,2025-11-26T06:46:30.032000,2025-11-26T06:46:30.032000
141395,Kwh,,Select,,,,6926a246975615828278b530,6891bb1896163182f4b2783e,6891bc8096163182f4b278fc,6891bd8e96163182f4b2790d,,Monthly,2023,June,0.0792,TCO2e,11.198484000000002,Emidio Tinga,,IEA 2022,true,Padm Nabh Tripathi,2025-11-26T06:46:30.669000,2025-11-26T06:46:30.669000
134617,Kwh,,Select,,,,6926a247975615828278b533,6891bb1896163182f4b2783e,6891bc8096163182f4b278fc,6891bd8e96163182f4b2790d,,Monthly,2023,July,0.0792,TCO2e,10.6616664,Emidio Tinga,,IEA 2022,true,Padm Nabh Tripathi,2025-11-26T06:46:31.582000,2025-11-26T06:46:31.582000
127197,Kwh,,Select,,,,6926a248975615828278b536,6891bb1896163182f4b2783e,6891bc8096163182f4b278fc,6891bd8e96163182f4b2790d,,Monthly,2023,August,0.0792,TCO2e,10.074002400000001,Emidio Tinga,,IEA 2022,true,Padm Nabh Tripathi,2025-11-26T06:46:32.162000,2025-11-26T06:46:32.162000
112339,Kwh,,Select,,,,6926a248975615828278b539,6891bb1896163182f4b2783e,6891bc8096163182f4b278fc,6891bd8e96163182f4b2790d,,Monthly,2023,September,0.0792,TCO2e,8.8972488,Emidio Tinga,,IEA 2022,true,Padm Nabh Tripathi,2025-11-26T06:46:32.759000,2025-11-26T06:46:32.759000
